"num","year","month","day","week","hour","minute"
636,2013,10,30,"周三",22,6
637,2013,10,31,"周四",22,39
638,2013,11,1,"周五",22,8
639,2013,11,2,"周六",21,53
640,2013,11,3,"周日",21,54
641,2013,11,4,"周一",22,15
642,2013,11,5,"周二",22,4
643,2013,11,6,"周三",22,0
644,2013,11,7,"周四",21,58
645,2013,11,8,"周五",22,52
646,2013,11,9,"周六",21,52
647,2013,11,10,"周日",21,52
648,2013,11,11,"周一",21,50
649,2013,11,12,"周二",23,9
650,2013,11,13,"周三",22,39
651,2013,11,14,"周四",22,7
652,2013,11,15,"周五",23,55
653,2013,11,16,"周六",23,47
654,2013,11,17,"周日",23,5
655,2013,11,18,"周一",22,11
656,2013,11,19,"周二",21,34
657,2013,11,20,"周三",21,27
658,2013,11,21,"周四",21,28
659,2013,11,22,"周五",22,15
660,2013,11,23,"周六",21,56
661,2013,11,24,"周日",21,40
662,2013,11,25,"周一",22,30
663,2013,11,26,"周二",23,38
664,2013,11,27,"周三",21,21
665,2013,11,28,"周四",22,21
666,2013,11,29,"周五",22,9
667,2013,11,30,"周六",21,52
668,2013,12,1,"周日",21,38
669,2013,12,2,"周一",21,35
670,2013,12,3,"周二",22,47
671,2013,12,4,"周三",21,23
672,2013,12,5,"周四",21,23
673,2013,12,6,"周五",22,34
674,2013,12,7,"周六",21,49
675,2013,12,8,"周日",21,38
676,2013,12,9,"周一",21,17
677,2013,12,10,"周二",21,59
678,2013,12,11,"周三",21,29
679,2013,12,12,"周四",21,56
680,2013,12,13,"周五",22,16
681,2013,12,14,"周六",21,41
682,2013,12,15,"周日",20,56
683,2013,12,16,"周一",22,4
684,2013,12,17,"周二",21,45
685,2013,12,18,"周三",21,47
686,2013,12,19,"周四",21,50
687,2013,12,20,"周五",22,15
688,2013,12,21,"周六",21,49
689,2013,12,22,"周日",23,11
690,2013,12,23,"周一",21,50
691,2013,12,24,"周二",22,21
692,2013,12,25,"周三",23,21
693,2013,12,26,"周四",22,33
694,2013,12,27,"周五",22,1
695,2013,12,28,"周六",21,43
696,2013,12,29,"周日",21,19
697,2013,12,30,"周一",21,31
698,2013,12,31,"周二",21,22
699,2014,1,1,"周三",21,35
700,2014,1,2,"周四",22,39
701,2014,1,3,"周五",22,20
702,2014,1,4,"周六",21,51
703,2014,1,5,"周日",22,25
704,2014,1,6,"周一",22,16
705,2014,1,7,"周二",22,5
706,2014,1,8,"周三",22,20
707,2014,1,9,"周四",22,38
708,2014,1,10,"周五",21,48
709,2014,1,11,"周六",22,6
710,2014,1,12,"周日",21,38
711,2014,1,13,"周一",21,10
712,2014,1,14,"周二",21,43
713,2014,1,15,"周三",21,54
714,2014,1,16,"周四",22,4
715,2014,1,17,"周五",21,9
716,2014,1,18,"周六",21,48
717,2014,1,19,"周日",21,44
718,2014,1,20,"周一",21,56
719,2014,1,21,"周二",22,22
720,2014,1,22,"周三",22,36
721,2014,1,23,"周四",21,47
722,2014,1,24,"周五",21,56
723,2014,1,25,"周六",21,48
724,2014,1,26,"周日",21,45
725,2014,1,27,"周一",22,10
726,2014,1,28,"周二",21,40
727,2014,1,29,"周三",21,51
728,2014,1,30,"周四",22,1
729,2014,1,31,"周五",22,6
730,2014,2,1,"周六",21,54
731,2014,2,2,"周日",21,47
732,2014,2,3,"周一",21,51
733,2014,2,4,"周二",22,8
734,2014,2,5,"周三",22,4
735,2014,2,6,"周四",21,39
736,2014,2,7,"周五",22,10
737,2014,2,8,"周六",21,37
738,2014,2,9,"周日",21,34
739,2014,2,10,"周一",21,57
740,2014,2,11,"周二",22,14
741,2014,2,12,"周三",22,11
742,2014,2,13,"周四",21,40
743,2014,2,14,"周五",22,2
744,2014,2,15,"周六",21,38
745,2014,2,16,"周日",22,0
746,2014,2,17,"周一",21,50
747,2014,2,18,"周二",22,1
748,2014,2,19,"周三",21,39
749,2014,2,20,"周四",21,55
750,2014,2,21,"周五",22,3
751,2014,2,22,"周六",21,56
752,2014,2,23,"周日",22,25
753,2014,2,24,"周一",21,51
754,2014,2,25,"周二",22,2
755,2014,2,26,"周三",22,8
756,2014,2,27,"周四",21,39
757,2014,2,28,"周五",21,55
758,2014,3,1,"周六",21,54
759,2014,3,2,"周日",22,9
760,2014,3,3,"周一",21,39
761,2014,3,4,"周二",21,54
762,2014,3,5,"周三",21,46
763,2014,3,6,"周四",21,44
764,2014,3,7,"周五",22,19
765,2014,3,8,"周六",21,47
766,2014,3,9,"周日",21,45
767,2014,3,10,"周一",22,2
768,2014,3,11,"周二",22,2
769,2014,3,12,"周三",22,1
770,2014,3,13,"周四",22,5
771,2014,3,14,"周五",22,41
772,2014,3,15,"周六",22,21
773,2014,3,17,"周一",21,8
774,2014,3,18,"周二",21,55
775,2014,3,19,"周三",22,0
776,2014,3,20,"周四",22,18
777,2014,3,21,"周二",22,15
778,2014,3,22,"周六",22,21
779,2014,3,23,"周日",21,50
780,2014,3,24,"周一",21,42
781,2014,3,25,"周二",21,37
782,2014,3,26,"周三",21,46
783,2014,3,27,"周四",22,10
784,2014,3,28,"周五",22,4
785,2014,3,29,"周六",22,14
786,2014,3,30,"周日",22,14
787,2014,3,31,"周一",20,41
788,2014,4,1,"周二",22,6
789,2014,4,2,"周三",21,43
790,2014,4,3,"周四",22,28
791,2014,4,4,"周五",21,59
792,2014,4,5,"周六",22,24
793,2014,4,6,"周日",22,28
794,2014,4,7,"周一",21,59
795,2014,4,8,"周二",21,40
796,2014,4,9,"周三",21,51
797,2014,4,10,"周四",21,38
798,2014,4,11,"周五",21,47
799,2014,4,12,"周六",22,0
800,2014,4,13,"周日",21,50
801,2014,4,14,"周一",22,0
802,2014,4,15,"周二",22,10
803,2014,4,16,"周三",21,38
804,2014,4,17,"周四",22,1
805,2014,4,18,"周五",21,41
806,2014,4,19,"周六",21,45
807,2014,4,20,"周日",21,46
808,2014,4,21,"周一",21,47
809,2014,4,22,"周二",21,48
810,2014,4,23,"周三",21,55
811,2014,4,24,"周四",21,49
812,2014,4,25,"周五",21,57
813,2014,4,26,"周六",21,59
814,2014,4,27,"周日",22,30
815,2014,4,28,"周一",21,42
816,2014,4,29,"周二",22,12
817,2014,4,30,"周三",21,59
818,2014,5,1,"周四",21,54
